Gene,Cell_Type,Correlation
CDKN2A,Th1 cells,0.386358309
CDKN2A,Macrophages M1,0.330926199
CDKN2A,aDC,0.293460676
CDKN2A,MEP,0.285998815
CDKN2A,Plasma cells,0.276582019
EGFR,Megakaryocytes,0.629138404
EGFR,Osteoblast,-0.533367245
EGFR,CLP,-0.525177578
EGFR,Keratinocytes,0.517325699
EGFR,Astrocytes,0.512080045
FGF2,Megakaryocytes,0.623362461
FGF2,StromaScore,0.586090384
FGF2,HSC,0.559691096
FGF2,Th1 cells,-0.550229936
FGF2,Fibroblasts,0.530643761
FOXO4,Th2 cells,-0.39967927
FOXO4,Macrophages,-0.359459106
FOXO4,HSC,0.359353809
FOXO4,Megakaryocytes,0.350246273
FOXO4,ly Endothelial cells,0.324608802