GeneSymbol,Role
A2M-AS1,Driver
AADAC,Suppressor
ABCB6,Suppressor
ABCC1,"Driver, Marker"
ABCC5,Suppressor
ABHD12,Suppressor
AC005332.7,Suppressor
ACACA,Marker
ACADM,Suppressor
ACADSB,Driver
ACAT2,Suppressor
ACO1,"Driver, Marker"
ACOT1,Suppressor
ACOT7,Suppressor
ACSF2,"Driver, Marker, Unclassified"
ACSL1,"Driver, Suppressor"
ACSL3,"Driver, Marker, Suppressor"
ACSL4,"Driver, Marker"
ACTL6A,Suppressor
ACVR1B,Driver
ADAM23,Driver
ADAMTS13,Suppressor
ADAMTS9-AS1,Suppressor
ADGRF5,Driver
ADIPOQ,Suppressor
ADIPOR1,Suppressor
ADORA1,Suppressor
ADORA2B,Suppressor
AEBP1,Suppressor
AEBP2,Driver
AGAP2-AS1,Suppressor
AGER,Suppressor
AGPAT3,"Driver, Unclassified"
AGPS,Driver
AGTR2,Driver
AHCY,Suppressor
AHR,"Driver, Suppressor"
AIFM2,Suppressor
AIM2,Suppressor
AKR1C,Marker
AKR1C1,Suppressor
AKR1C2,Suppressor
AKR1C3,Suppressor
AKT,Suppressor
AKT1,"Marker, Suppressor, Unclassified"
AKT1S1,Suppressor
ALB,Unclassified
ALDH2,Suppressor
ALDH3A2,Suppressor
ALG3,Suppressor
ALKBH5,"Driver, Suppressor"
ALOX12,"Driver, Unclassified"
ALOX12B,Driver
ALOX15,"Driver, Marker, Unclassified"
ALOX15B,Driver
ALOX5,"Driver, Unclassified"
ALOXE3,Driver
AMBRA1,Driver
AMER1,Driver
AMFR,Driver
AMN,Driver
ANGPTL4,Suppressor
ANGPTL7,Unclassified
ANO1,"Driver, Suppressor"
ANO6,Driver
ANXA10,Suppressor
AOC1,Driver
APELA,Suppressor
APOC1,Suppressor
APOE,Suppressor
APOL3,Driver
APP,Driver
AQP11,Suppressor
AQP3,Driver
AQP4,Suppressor
AQP5,Driver
AQP8,Driver
AR,Suppressor
ARF6,Suppressor
ARG2,Suppressor
ARGLU1-DT,Driver
ARHGEF26-AS1,Driver
ARMC5,Driver
ARNTL,Suppressor
ARPC1A,Suppressor
ARRDC3,Unclassified
ASAH2,Suppressor
ASAP2,Suppressor
ASCL1,Suppressor
ASL,Driver
ASMTL-AS1,Driver
ASNS,Unclassified
ASS1,Suppressor
ATF2,Suppressor
ATF3,"Driver, Suppressor, Unclassified"
ATF4,"Driver, Suppressor, Unclassified"
ATF6,Suppressor
ATG13,Driver
ATG16L1,Driver
ATG3,Driver
ATG4D,Driver
ATG5,Driver
ATG7,Driver
ATM,Driver
ATP2B3,Driver
ATP5MC3,"Driver, Unclassified"
ATP6V1G2,Unclassified
ATXN8OS,Driver
AURKA,"Suppressor, Unclassified"
AXL,Suppressor
B3GNT3,Suppressor
BACH1,"Driver, Suppressor"
BACH2,Driver
BAP1,Driver
BAP31,Suppressor
BAX,Driver
BBOX1-AS1,Suppressor
BCAT1,Suppressor
BCAT2,Suppressor
BCL2,Suppressor
BCL6,Driver
BDNF-AS,Suppressor
BECN1,Driver
BEX1,Suppressor
BGN,Suppressor
BHLHE40,Suppressor
BID,Driver
BLOC1S5-TXNDC5,Unclassified
BMAL1,"Driver, Suppressor"
BMP4,Suppressor
BNC1,Suppressor
BNIP3,Unclassified
BRCA1,"Driver, Suppressor"
BRD2,Suppressor
BRD3,Suppressor
BRD4,"Driver, Suppressor"
BRD7,Driver
BRDT,Suppressor
BRPF1,Driver
BSG,Driver
BTK,Suppressor
C19orf12,Suppressor
C1QTNF6,Suppressor
C8orf76,Suppressor
CA9,Suppressor
CACNA1G-AS1,Suppressor
CAD,Suppressor
CAMKK2,Suppressor
CAPG,"Suppressor, Unclassified"
CAPRIN2,Suppressor
CARM1,"Driver, Suppressor"
CARS1,"Driver, Marker"
CASC11,Suppressor
CASP3,Driver
CAV-1,Suppressor
CAV1,"Driver, Suppressor"
CAVIN1,Driver
CB2R,Suppressor
CBR1,Unclassified
CBS,"Marker, Suppressor, Unclassified"
CBSLR,Suppressor
CBX5,Driver
CCDC6,Driver
CCT3,Suppressor
CD276,Suppressor
CD36,Driver
CD38,Driver
CD44,Suppressor
CD74,Driver
CD82,Driver
CDC25A,Suppressor
CDC27,Driver
CDCA3,Driver
CDH1,Suppressor
CDH4,Suppressor
CDK1,Suppressor
CDKN1A,"Marker, Suppressor"
CDKN2A,"Driver, Suppressor"
CDO1,Driver
CEBPG,"Suppressor, Unclassified"
CEMIP,Suppressor
CENPA,Suppressor
CERK,Suppressor
CERS6-AS1,Suppressor
CFL1,Driver
CGAS,"Driver, Suppressor"
CHAC1,"Driver, Marker"
CHMP1A,Suppressor
CHMP5,Suppressor
CHMP6,Suppressor
CHP1,Driver
CIRBP,Driver
CISD1,"Marker, Suppressor"
CISD2,Suppressor
CISD3,Suppressor
CKB,Suppressor
CLOCK,Suppressor
CLTRN,Driver
CNIH4,Suppressor
CNR1,Suppressor
COMMD10,Driver
COPZ1,Suppressor
COQ10A,Suppressor
COQ10B,Suppressor
COQ10BP1,Suppressor
COQ10BP2,Suppressor
COX4I2,Driver
COX7A1,Driver
CP,Suppressor
CPEB1,Driver
CPLX2,Suppressor
CPT1A,Suppressor
CREB,Suppressor
CREB1,Suppressor
CREB3,Suppressor
CREB5,Suppressor
CRTC3,Suppressor
CRYAB,Driver
CS,"Driver, Marker"
CSE,Suppressor
CST1,Suppressor
CTNNB1,Suppressor
CTNS,Suppressor
CTSB,Driver
CUL9,Suppressor
CX3CL1,Driver
CXCL10,Driver
CXCL2,Unclassified
CXCL8,Suppressor
CYB5R1,Driver
CYBB,"Driver, Suppressor"
CYGB,"Driver, Suppressor"
CYP1B1,Suppressor
CYP24A1,Suppressor
CYP2E1,Suppressor
CYP4F8,Driver
ChREP-beta,Driver
CircBCAR3,Suppressor
CircCDK14,Suppressor
CircCmss1,Driver
CircEXOC5,Driver
CircFNDC3B,Suppressor
CircHIPK3,"Driver, Suppressor"
CircHMGA2,Driver
CircIDE,Driver
CircIL4R,Suppressor
CircKDM4C,Driver
CircLRFN5,Driver
CircOMA1,Suppressor
CircP4HB,Suppressor
CircPVT1,Suppressor
CircRAPGEF5,Suppressor
CircRHOT1,Suppressor
CircRNA-ST6GALNAC6,Driver
CircSCN8A,Driver
CircSnx12,Suppressor
CircZBTB46,Suppressor
Circ_0000190,Driver
Circ_0000745,Suppressor
DACT3-AS1,Driver
DAZAP1,Suppressor
DCAF7,Driver
DCLK3,Suppressor
DCPS,Suppressor
DDIT3,Unclassified
DDIT4,"Driver, Unclassified"
DDR2,Driver
DDX5,Driver
DECR1,Suppressor
DELE1,Suppressor
DHODH,"Driver, Suppressor"
DKK1,Suppressor
DLD,Driver
DLEU1,Suppressor
DNAJB6,Driver
DPEP1,Driver
DPP4,"Driver, Marker, Suppressor"
DPP9,Suppressor
DRD4,Unclassified
DRD5,Unclassified
DUOX1,Driver
DUOX2,Driver
DUSP1,Unclassified
DUXAP8,Suppressor
DYRK1A,Driver
E2F1,Driver
E2F2,Driver
E2F3,Driver
E2F7,Suppressor
EBF3,Driver
ECH1,Suppressor
EDN1,Driver
EGF,Suppressor
EGFR,"Driver, Suppressor"
EGLN2,Driver
EGR1,Driver
EHMT2,Driver
EIF2AK2,Driver
EIF2AK3,Suppressor
EIF2AK4,Unclassified
EIF2S1,Unclassified
EIF3H,Suppressor
EIF4E,Driver
ELAVL1,"Driver, Unclassified"
ELK1,Suppressor
ELOVL5,"Driver, Suppressor"
EMC2,"Driver, Marker"
EMP1,Driver
EMP2,Suppressor
ENO1,Suppressor
ENO3,Suppressor
ENPP2,Suppressor
EP300,"Driver, Suppressor"
EPAS1,Driver
EPHA2,Driver
EPHA4,Driver
EPT1,Driver
EREG,Suppressor
ERK,Driver
ERN1,Driver
ESR1,Suppressor
ETHE1,Driver
ETS1,Suppressor
ETV4,Suppressor
EZH2,Suppressor
FABP4,"Driver, Suppressor"
FADS1,Driver
FADS2,"Driver, Marker, Suppressor"
FAF1,Suppressor
FAM98A,Suppressor
FANCD2,"Marker, Suppressor"
FAR1,Driver
FBLN1,Suppressor
FBXL5,Suppressor
FBXO31,Driver
FBXW7,Driver
FDFT1,Marker
FDX1,"Driver, Suppressor"
FEACR,Suppressor
FECH,Suppressor
FEN1,Suppressor
FGF10,Suppressor
FGF2,Suppressor
FGF21,Suppressor
FGF4,Suppressor
FGFR4,Suppressor
FH,Suppressor
FHOD1,Suppressor
FLRT2,Driver
FLT3,Driver
FMO1,Driver
FNDC3B,Suppressor
FNDC5,Suppressor
FOSL1,Driver
FOXA2,Suppressor
FOXM1,Suppressor
FOXN4,Driver
FOXO3,Driver
FOXO4,Driver
FOXQ1,Suppressor
FSCN1,Driver
FTH1,"Driver, Marker, Suppressor, Unclassified"
FTHL17,Suppressor
FTL,"Marker, Suppressor, Unclassified"
FTMT,Suppressor
FTO,"Driver, Suppressor"
FTX,Suppressor
FUNDC1,"Driver, Suppressor"
FUNDC2,Driver
FURIN,Suppressor
FXN,Suppressor
FXR1,Suppressor
FZD7,Suppressor
Fer1HCH,Suppressor
G3BP1,"Driver, Suppressor"
G6PD,"Driver, Marker, Suppressor"
G6PDX,Driver
GABARAPL1,Driver
GABARAPL2,Driver
GABPB1,Unclassified
GALNT14,Suppressor
GALNT5,Suppressor
GAS1,Driver
GATA1,Suppressor
GATA3,Suppressor
GATA6,Suppressor
GCH1,Suppressor
GCLC,"Marker, Suppressor"
GDF15,"Driver, Suppressor, Unclassified"
GFPT1,Driver
GGT1,Suppressor
GINS4,Suppressor
GJA1,Driver
GLRX5,Suppressor
GLS,Suppressor
GLS2,"Driver, Marker"
GLUT13,Unclassified
GMFB,Driver
GOT1,"Driver, Marker, Suppressor"
GPAT4,Driver
GPT2,Unclassified
GPX2,Unclassified
GPX3,Suppressor
GPX4,"Marker, Suppressor, Unclassified"
GPX7,Suppressor
GRIA3,Driver
GRN,Suppressor
GRSF1,Suppressor
GSK3B,Driver
GSS,Suppressor
GSTM1,Suppressor
GSTP1,Suppressor
GSTZ1,Driver
Gm47283,Driver
H19,"Driver, Suppressor"
H3C1,Driver
H3C10,Driver
H3C11,Driver
H3C12,Driver
H3C13,Driver
H3C14,Driver
H3C15,Driver
H3C2,Driver
H3C3,Driver
H3C4,Driver
H3C6,Driver
H3C7,Driver
H3C8,Driver
HACE1,Suppressor
HAMP,Unclassified
HBA1,Unclassified
HBP1,Driver
HCAR1,Suppressor
HCG18,Suppressor
HCP5,Suppressor
HDAC3,"Driver, Suppressor"
HDAC6,"Driver, Suppressor"
HDDC3,Driver
HDLBP,Driver
HECTD3,Driver
HECW1,Driver
HELLS,Suppressor
HEPFAL,Driver
HERPUD1,"Driver, Unclassified"
HIC1,Unclassified
HIF1A,"Driver, Suppressor"
HILPDA,Driver
HJURP,Suppressor
HLF,Suppressor
HMGA2,Suppressor
HMGB1,"Driver, Unclassified"
HMGB2,Driver
HMGCL,Driver
HMGCR,"Marker, Suppressor"
HMGCS1,Suppressor
HMOX1,"Driver, Marker, Suppressor, Unclassified"
HNF4A,"Driver, Suppressor, Unclassified"
HNRNPD,Suppressor
HNRNPL,Suppressor
HNRNPM,Suppressor
HOTAIR,Driver
HOXA11-AS,Suppressor
HOXC-AS3,Suppressor
HOXD10,Driver
HPCAL1,Driver
HPX,Suppressor
HRAS,Driver
HRH1,Suppressor
HSBP1,Marker
HSD17B11,Unclassified
HSDL2,Driver
HSF1,Suppressor
HSP90AA1,Driver
HSPA12A,Suppressor
HSPA12B,Suppressor
HSPA13,Suppressor
HSPA14,Suppressor
HSPA1A,Suppressor
HSPA1B,Suppressor
HSPA1L,Suppressor
HSPA2,Suppressor
HSPA4,Suppressor
HSPA4L,Suppressor
HSPA5,"Marker, Suppressor"
HSPA6,Suppressor
HSPA7,Suppressor
HSPA8,Suppressor
HSPA9,Suppressor
HSPB1,"Marker, Suppressor"
HSPH1,Suppressor
HTR2B,Suppressor
HULC,Suppressor
HUWE1,Suppressor
HYOU1,Suppressor
ICA1,Driver
IDH1,Driver
IDH2,Suppressor
IDO1,"Driver, Suppressor"
IFI35,Driver
IFNA1,Driver
IFNA10,Driver
IFNA13,Driver
IFNA14,Driver
IFNA16,Driver
IFNA17,Driver
IFNA2,Driver
IFNA21,Driver
IFNA4,Driver
IFNA5,Driver
IFNA6,Driver
IFNA7,Driver
IFNA8,Driver
IFNG,Driver
IGF1R,Suppressor
IGF2BP2,Suppressor
IGF2BP3,Suppressor
IGFBP6,Suppressor
IGFBP7,Driver
IL-10,Suppressor
IL17A,"Driver, Suppressor, Unclassified"
IL1B,Driver
IL23A,Suppressor
IL33,"Suppressor, Unclassified"
IL37,Suppressor
IL6,"Driver, Suppressor, Unclassified"
IL9,Suppressor
INTS2,Driver
IREB2,"Driver, Marker, Unclassified"
IRF1,Driver
IRF3,Suppressor
IRF7,Driver
IRF8,Driver
IRF9,Driver
ISCA2,Suppressor
ISCU,Suppressor
ITGB2-AS1,Suppressor
ITGB3,Suppressor
ITPR1,Driver
ITPR2,Driver
ITPR3,Driver
JDP2,Unclassified
JUN,Suppressor
JUND,Suppressor
JUP,Suppressor
KAT5,Suppressor
KAT6B,Suppressor
KCNMA1,Suppressor
KCNQ1OT1,Driver
KDM1A,"Driver, Suppressor"
KDM3B,Suppressor
KDM4A,Suppressor
KDM4D,Suppressor
KDM5A,Driver
KDM5C,Driver
KDM6B,Driver
KEAP1,"Driver, Marker, Unclassified"
KIF20A,Suppressor
KIM-1,Unclassified
KL,Suppressor
KLF11,Driver
KLF15,Suppressor
KLF2,Driver
KLF6,Driver
KLHDC3,Suppressor
KLHL24,Unclassified
KMT2B,Driver
KMT2D,Driver
KMT5A,Suppressor
KRAS,Driver
KRT18,Suppressor
LACTB,Driver
LAMP2,Suppressor
LAMTOR5,Suppressor
LCE2C,Driver
LCN2,"Driver, Suppressor"
LDHA,Suppressor
LDLR,Suppressor
LGMN,Driver
LIFR,Driver
LIG3,Driver
LIN28A,Driver
LINC-ROR,Driver
LINC00239,Suppressor
LINC00336,Suppressor
LINC00460,Suppressor
LINC00472,Driver
LINC00578,Suppressor
LINC00616,Driver
LINC00618,Driver
LINC00641,Suppressor
LINC00941,Suppressor
LINC00976,Suppressor
LINC01133,Suppressor
LINC01134,Suppressor
LINC01564,Suppressor
LINC01606,Suppressor
LINC01833,Suppressor
LINC02587,Suppressor
LIP,Driver
LOC284561,Unclassified
LOC390705,Unclassified
LONP1,Driver
LOX,"Driver, Marker"
LPCAT3,"Driver, Marker"
LPIN1,Driver
LRP8,Suppressor
LRRFIP1,Unclassified
LRRK2,Suppressor
LTBP2,Suppressor
LTF,Suppressor
LUCAT1,Suppressor
LURAP1L,Unclassified
LYRM1,Driver
MAFG,Unclassified
MALAT1,Suppressor
MALT1,"Driver, Suppressor"
MAP1LC3A,Driver
MAP3K11,Driver
MAP3K14,Driver
MAP3K5,Unclassified
MAP3K7,Suppressor
MAPK1,Driver
MAPK14,"Driver, Unclassified"
MAPK3,Driver
MAPK8,"Driver, Suppressor"
MAPK9,Driver
MAPKAP1,"Suppressor, Unclassified"
MARCHF5,Suppressor
MARCHF6,Suppressor
MAT1A,Driver
MAT2A,Suppressor
MAZ,Suppressor
MBOAT1,Suppressor
MBOAT2,Suppressor
MBOAT7,Driver
MCF2L,Suppressor
MCOLN1,Driver
MCU,Driver
MDM2,"Driver, Suppressor"
MDM4,Driver
ME1,Suppressor
MEF2C,Suppressor
MEG3,Driver
MEG8,Suppressor
MELK,Suppressor
MEN1,Driver
METRNL,Suppressor
METTL1,Driver
METTL14,"Driver, Suppressor"
METTL16,Suppressor
METTL3,"Driver, Suppressor"
METTL9,Suppressor
MEX3A,Suppressor
MFGE8,Suppressor
MFN1,Suppressor
